env,condition,intervention,setting,seed,final_train_return,final_test_return,final_train_success,final_test_success,gap,success_gap,sample_efficiency_auc
world2_keydoor,baseline,baseline,-,0,0.8567187786102295,-0.46129950881004333,0.984375,0.3199999928474426,1.3180183172225952,0.6643750071525574,0.23533330857753754
world2_keydoor,baseline,baseline,-,1,0.8562500476837158,-0.5811994671821594,0.984375,0.25999999046325684,1.4374494552612305,0.7243750095367432,0.23333331942558289
world2_keydoor,baseline,baseline,-,2,0.7643750309944153,-0.7596994042396545,0.9375,0.17000000178813934,1.5240744352340698,0.7674999833106995,0.16866667568683624
world2_keydoor,baseline,baseline,-,3,0.8553124666213989,-0.5188995599746704,0.984375,0.28999999165534973,1.3742120265960693,0.6943750381469727,0.23466666042804718
world2_keydoor,baseline,baseline,-,4,0.8868750333786011,-0.6591995358467102,1.0,0.2199999988079071,1.546074628829956,0.7799999713897705,0.21799999475479126
world2_keydoor,baseline,baseline,-,5,0.8865624666213989,-0.6401994228363037,1.0,0.23000000417232513,1.5267618894577026,0.7699999809265137,0.16866667568683624
world2_keydoor,baseline,baseline,-,6,0.8551562428474426,-0.6995994448661804,0.984375,0.20000000298023224,1.554755687713623,0.784375011920929,0.20333334803581238
world2_keydoor,baseline,baseline,-,7,0.8250000476837158,-0.4990995526313782,0.96875,0.30000001192092896,1.3240995407104492,0.668749988079071,0.20733332633972168
world2_keydoor,levels,n_train,2,0,0.875,-1.0999993085861206,1.0,0.0,1.9749993085861206,1.0,0.0
world2_keydoor,levels,n_train,2,1,0.875,-1.0999993085861206,1.0,0.0,1.9749993085861206,1.0,0.0006666666595265269
world2_keydoor,levels,n_train,2,2,0.875,-1.0999993085861206,1.0,0.0,1.9749993085861206,1.0,0.0026666666381061077
world2_keydoor,levels,n_train,2,3,-0.12499964237213135,-1.0999993085861206,0.5,0.0,0.9749996662139893,0.5,0.0059999991208314896
world2_keydoor,levels,n_train,2,4,0.875,-1.0999993085861206,1.0,0.0,1.9749993085861206,1.0,0.0006666666595265269
world2_keydoor,levels,n_train,2,5,0.875,-1.0595992803573608,1.0,0.019999999552965164,1.9345992803573608,0.9800000190734863,0.0026666666381061077
world2_keydoor,levels,n_train,2,6,0.875,-1.0999993085861206,1.0,0.0,1.9749993085861206,1.0,0.0059999991208314896
world2_keydoor,levels,n_train,2,7,-0.09999963641166687,-1.0999993085861206,0.5,0.0,0.9999996423721313,0.5,0.0006666666595265269
world2_keydoor,levels,n_train,4,0,0.8650000095367432,-1.0999993085861206,1.0,0.0,1.9649993181228638,1.0,0.001999999862164259
world2_keydoor,levels,n_train,4,1,0.8650000095367432,-1.0792993307113647,1.0,0.009999999776482582,1.944299340248108,0.9900000095367432,0.007333332672715187
world2_keydoor,levels,n_train,4,2,0.3750001788139343,-1.0999993085861206,0.75,0.0,1.4749994277954102,0.75,0.001999999862164259
world2_keydoor,levels,n_train,4,3,0.8650000095367432,-1.0999993085861206,1.0,0.0,1.9649993181228638,1.0,0.0026666666381061077
world2_keydoor,levels,n_train,4,4,0.8650000095367432,-1.0792993307113647,1.0,0.009999999776482582,1.944299340248108,0.9900000095367432,0.003999999724328518
world2_keydoor,levels,n_train,4,5,0.8650000095367432,-1.0999993085861206,1.0,0.0,1.9649993181228638,1.0,0.0013333333190530539
world2_keydoor,levels,n_train,4,6,0.8650000095367432,-1.0999993085861206,1.0,0.0,1.9649993181228638,1.0,0.0
world2_keydoor,levels,n_train,4,7,0.8650000095367432,-1.0999993085861206,1.0,0.0,1.9649993181228638,1.0,0.0
world2_keydoor,levels,n_train,16,0,0.8824999928474426,-1.0999993085861206,1.0,0.0,1.982499361038208,1.0,0.007999999448657036
world2_keydoor,levels,n_train,16,1,0.5093751549720764,-1.0796992778778076,0.8125,0.009999999776482582,1.5890743732452393,0.8025000095367432,0.0026666666381061077
world2_keydoor,levels,n_train,16,2,0.8837499618530273,-1.080599308013916,1.0,0.009999999776482582,1.9643492698669434,0.9900000095367432,0.012666666880249977
world2_keydoor,levels,n_train,16,3,0.7593750357627869,-1.060299277305603,0.9375,0.019999999552965164,1.8196742534637451,0.9175000190734863,0.006666666362434626
world2_keydoor,levels,n_train,16,4,0.8837499618530273,-1.0796992778778076,1.0,0.009999999776482582,1.963449239730835,0.9900000095367432,0.003333333181217313
world2_keydoor,levels,n_train,16,5,0.8774999976158142,-1.0615992546081543,1.0,0.019999999552965164,1.9390993118286133,0.9800000190734863,0.009333332069218159
world2_keydoor,levels,n_train,16,6,0.7612500190734863,-1.0999993085861206,0.9375,0.0,1.861249327659607,0.9375,0.001999999862164259
world2_keydoor,levels,n_train,16,7,0.8837499618530273,-1.0999993085861206,1.0,0.0,1.983749270439148,1.0,0.005333333276212215
world2_keydoor,levels,n_train,64,0,0.8567187786102295,-0.46129950881004333,0.984375,0.3199999928474426,1.3180183172225952,0.6643750071525574,0.23533330857753754
world2_keydoor,levels,n_train,64,1,0.8562500476837158,-0.5811994671821594,0.984375,0.25999999046325684,1.4374494552612305,0.7243750095367432,0.23333331942558289
world2_keydoor,levels,n_train,64,2,0.7643750309944153,-0.7596994042396545,0.9375,0.17000000178813934,1.5240744352340698,0.7674999833106995,0.16866667568683624
world2_keydoor,levels,n_train,64,3,0.8553124666213989,-0.5188995599746704,0.984375,0.28999999165534973,1.3742120265960693,0.6943750381469727,0.23466666042804718
world2_keydoor,levels,n_train,64,4,0.8868750333786011,-0.6591995358467102,1.0,0.2199999988079071,1.546074628829956,0.7799999713897705,0.21799999475479126
world2_keydoor,levels,n_train,64,5,0.8865624666213989,-0.6401994228363037,1.0,0.23000000417232513,1.5267618894577026,0.7699999809265137,0.16866667568683624
world2_keydoor,levels,n_train,64,6,0.8551562428474426,-0.6995994448661804,0.984375,0.20000000298023224,1.554755687713623,0.784375011920929,0.20333334803581238
world2_keydoor,levels,n_train,64,7,0.8250000476837158,-0.4990995526313782,0.96875,0.30000001192092896,1.3240995407104492,0.668749988079071,0.20733332633972168
world2_keydoor,levels,n_train,96,0,0.8031250834465027,-0.5789995193481445,0.9583333134651184,0.25999999046325684,1.382124662399292,0.6983333230018616,0.23133331537246704
world2_keydoor,levels,n_train,96,1,0.8447917103767395,-0.16369962692260742,0.9791666865348816,0.4699999988079071,1.0084912776947021,0.5091667175292969,0.38999995589256287
world2_keydoor,levels,n_train,96,2,0.8844792246818542,-0.3606995642185211,1.0,0.3700000047683716,1.2451788187026978,0.6299999952316284,0.38599997758865356
world2_keydoor,levels,n_train,96,3,0.8443750739097595,-0.42109954357147217,0.9791666865348816,0.3400000035762787,1.265474557876587,0.6391667127609253,0.36266666650772095
world2_keydoor,levels,n_train,96,4,0.8036458492279053,-0.5197994709014893,0.9583333134651184,0.28999999165534973,1.3234453201293945,0.6683332920074463,0.27333328127861023
world2_keydoor,levels,n_train,96,5,0.822812557220459,-0.34239956736564636,0.96875,0.3799999952316284,1.1652121543884277,0.5887500047683716,0.34466665983200073
world2_keydoor,levels,n_train,96,6,0.8851041793823242,-0.3050995469093323,1.0,0.4000000059604645,1.1902036666870117,0.6000000238418579,0.3240000009536743
world2_keydoor,levels,n_train,96,7,0.8438542485237122,-0.4805995225906372,0.9791666865348816,0.3100000023841858,1.3244538307189941,0.6691666841506958,0.3473333418369293
world2_keydoor,levels,n_train,128,0,0.8051000237464905,-0.24549956619739532,0.9599999785423279,0.4300000071525574,1.0505995750427246,0.5299999713897705,0.3766666650772095
world2_keydoor,levels,n_train,128,1,0.8457000255584717,-0.3627995252609253,0.9800000190734863,0.3700000047683716,1.208499550819397,0.6100000143051147,0.3453333079814911
world2_keydoor,levels,n_train,128,2,0.8849999904632568,-0.10769965499639511,1.0,0.5,0.9926996231079102,0.5,0.4113333523273468
world2_keydoor,levels,n_train,128,3,0.8449999094009399,-0.024999676272273064,0.9800000190734863,0.5400000214576721,0.8699995875358582,0.4399999976158142,0.41999995708465576
world2_keydoor,levels,n_train,128,4,0.8651999831199646,-0.12269964814186096,0.9900000095367432,0.49000000953674316,0.987899661064148,0.5,0.421999990940094
world2_keydoor,levels,n_train,128,5,0.8267999887466431,-0.24329955875873566,0.9700000286102295,0.4300000071525574,1.0700995922088623,0.5400000214576721,0.41466662287712097
world2_keydoor,levels,n_train,128,6,0.8657000064849854,-0.14279963076114655,0.9900000095367432,0.47999998927116394,1.0084996223449707,0.5099999904632568,0.4973333477973938
world2_keydoor,levels,n_train,128,7,0.8468000292778015,-0.10559964925050735,0.9800000190734863,0.5,0.9523996710777283,0.48000001907348633,0.4166666269302368
world2_keydoor,levels,n_train,192,0,0.8454000353813171,0.1145002618432045,0.9800000190734863,0.6100000143051147,0.7308997511863708,0.3700000047683716,0.46400001645088196
world2_keydoor,levels,n_train,192,1,0.8269000053405762,0.016200320795178413,0.9700000286102295,0.5600000023841858,0.8106997013092041,0.4100000262260437,0.4933333396911621
world2_keydoor,levels,n_train,192,2,0.8266000151634216,-0.044099677354097366,0.9700000286102295,0.5299999713897705,0.8706997036933899,0.440000057220459,0.5286666750907898
world2_keydoor,levels,n_train,192,3,0.8459999561309814,-0.043299660086631775,0.9800000190734863,0.5299999713897705,0.8892996311187744,0.4500000476837158,0.5353333950042725
world2_keydoor,levels,n_train,192,4,0.8465999364852905,0.05360029637813568,0.9800000190734863,0.5799999833106995,0.7929996252059937,0.40000003576278687,0.5020000338554382
world2_keydoor,levels,n_train,192,5,0.8461999297142029,0.035400308668613434,0.9800000190734863,0.5699999928474426,0.8107995986938477,0.4100000262260437,0.5099999308586121
world2_keydoor,levels,n_train,192,6,0.8658999800682068,-0.12259966135025024,0.9900000095367432,0.49000000953674316,0.988499641418457,0.5,0.46933332085609436
world2_keydoor,levels,n_train,192,7,0.8658999800682068,-0.023899659514427185,0.9900000095367432,0.5400000214576721,0.8897996544837952,0.44999998807907104,0.5053333044052124
world2_keydoor,levels,n_train,256,0,0.8268999457359314,0.013900309801101685,0.9700000286102295,0.5600000023841858,0.8129996061325073,0.4100000262260437,0.5753334164619446
world2_keydoor,levels,n_train,256,1,0.8271999359130859,-0.043499670922756195,0.9700000286102295,0.5299999713897705,0.8706995844841003,0.440000057220459,0.5153332948684692
world2_keydoor,levels,n_train,256,2,0.7682999968528748,-0.06449966132640839,0.9399999976158142,0.5199999809265137,0.8327996730804443,0.42000001668930054,0.5139999985694885
world2_keydoor,levels,n_train,256,3,0.786500096321106,0.1526002585887909,0.949999988079071,0.6299999952316284,0.6338998079299927,0.3199999928474426,0.5453333258628845
world2_keydoor,levels,n_train,256,4,0.8464999198913574,0.09330028295516968,0.9800000190734863,0.6000000238418579,0.7531996369361877,0.3799999952316284,0.5673333406448364
world2_keydoor,levels,n_train,256,5,0.7473999857902527,-0.12379965931177139,0.9300000071525574,0.49000000953674316,0.8711996674537659,0.4399999976158142,0.527999997138977
world2_keydoor,levels,n_train,256,6,0.8270000219345093,0.11430027335882187,0.9700000286102295,0.6100000143051147,0.7126997709274292,0.36000001430511475,0.6006666421890259
